service_id,store_id,service_group,merchant_name,merchant_address,store_name,store_address,store_longitude,store_latitude,Group_store,Area
3856987200481659347,5344902699306350073,beverage,3T COFFEE,"355 Hoàng Sa, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",3T COFFEE QUẬN 1,"355 Hoàng Sa, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.686097,10.7939813,3T COFFEE,South
7508698289722542420,456616057538839028,beverage,ALTO COFFEE,"408 điện biên phủ, Phường 11, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",ALTO COFFEE,"408 điện biên phủ, Phường 11, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6813637,10.7751194,ALTO COFFEE,South
1541760682999376676,4712493303835130520,beverage,Apsara Cafe,"Số 1 Phạm Ngũ Lão, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Apsara Café,"Số 1 Phạm Ngũ Lão, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",105.85919009999998,21.0243979,Apsara Cafe,North
6835189764919746072,2442775523715724880,beverage,B59 COFFEE,"370  Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",B59 COFFEE,"59 Khương Trung, Phường Khương Đình, Quận Thanh Xuân, Hà Nội, VIỆT NAM",105.815958,20.993166,B59 COFFEE,North
6835189764919746072,6028938650525639113,beverage,B59 COFFEE,"370  Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",B59 COFFEE,"370 Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",105.8168784,21.0152633,B59 COFFEE,North
6835189764919746072,4132762970393719878,beverage,B59 COFFEE,"370  Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",B59 Coffee,"Số 11 Đường Thanh Niên, Phường Quán Thánh, Quận Ba Đình, Hà Nội",105.8362636,21.0441196,B59 COFFEE,North
4761131599689251118,5408890286609245867,beverage,HỘ KINH DOANH BA LÁ TRÀ,"74 Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2, Thành Phố Hồ Chí Minh, VIỆT NAM",BA LÁ TRÀ 515A NGUYỄN TRI PHƯƠNG,"515A Nguyễn Tri Phương, Phường 8, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6674818,10.7657818,BA LÁ TRÀ,South
4761131599689251118,4115565303683088532,beverage,HỘ KINH DOANH BA LÁ TRÀ,"74 Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2, Thành Phố Hồ Chí Minh, VIỆT NAM",BA LÁ TRÀ 67 TRƯỜNG SƠN,"67 Trường Sơn, Phường 10, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",106.66466,10.810816,BA LÁ TRÀ,South
4761131599689251118,8806944422256862235,beverage,HỘ KINH DOANH BA LÁ TRÀ,"74 Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2, Thành Phố Hồ Chí Minh, VIỆT NAM",BA LÁ TRÀ 74 NGUYỄN CƠ THẠCH,"Tòa nhà Sarimi số 74 Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2, Thành Phố Hồ Chí Minh, VIỆT NAM",106.7242277,10.7716334,BA LÁ TRÀ,South
5453033308428757696,6876238403132185378,beverage,BTDT COFFEE,"215 hoàng sa, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",BIDI COFFEE,"215 hoàng sa, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6895249,10.7952997,BIDI COFFEE,South
5915606340191407689,3733650641641027729,beverage,BLUE INFINITY COFFEE SHOP,"150  võ văn kiệt, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",BLUE INFINITY COFFEE,"150 Võ Văn Kiệt, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.697556,10.763817,BLUE INFINITY,South
